,name,category,project,guest,bedroom,bathroom,price,discounted,normal price,province,state,country
84,HomeAway - Homestay Vung Tau,Condominium,None,6,2,1,28,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
85,Panorama Old Quarter view 2br + extra bed for 6pax,None,None,6,2,2,37,1,52,Hoàn Kiếm,Hà Nội,Vietnam
86,Triple Studio Room with attached Kichenette and Dining area/Family/Long-term Stay,Villa,None,4,1,1,22,1,25,Hội An,Quảng Nam,Vietnam
87,NEW! Yellow Submarine 3rd @500meters from the beach,Studio Apartment,None,2,1,1,31,0,Invalid,Sơn Trà,Đà Nẵng,Vietnam
88,Indochine Style Studio@Experience Locals Lifestyle,Condominium,None,3,1,1,54,0,Invalid,Quận 1,Hồ Chí Minh,Vietnam
89,An Khang 401 · ☀Bright Comfy Double ☀ Breakfast ☀ 2' to FUTA bus,Other,None,4,1,1,17,1,20,Đà Lạt,Lâm Đồng,Vietnam
90,"Style,Cozy,Nice House 3BR in super central",Entire House,None,10,3,3,35,0,Invalid,Thanh Khê,Đà Nẵng,Vietnam
91,Lula ★Vintage Studio★ Perfect Getaway | Saigon Central,Condominium,None,2,1,1,20,1,28,Quận 1,Hồ Chí Minh,Vietnam
92,Flame flowers homestay_Double with Balcony 01,Other,None,2,1,1,15,1,21,Hội An,Quảng Nam,Vietnam
93,CozyNook 2 Stunning Apartments in heart of Dalat,Studio Apartment,None,4,1,1,20,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
94,The Green Mango Villa,Villa,None,20,5,6,174,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
95,Villa Viet Home 1,Villa,None,30,6,6,148,1,174,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
96,Westlake Lotus - Superior Double room,Studio Apartment,None,2,1,1,15,0,Invalid,Tây Hồ,Hà Nội,Vietnam
97,Family Room with Separate Rooms,Service Apartment,None,6,2,2,28,1,35,Hải Châu,Đà Nẵng,Vietnam
98,Lim Orange-tiny apartment-1 bedroom-Phu My Hung Urban,Service Apartment,Mỹ Quang,3,1,1,48,0,Invalid,Quận 7,Hồ Chí Minh,Vietnam
99,Sân Mây Homestay*beautiful view*outdoor bbq area,Villa,None,3,1,1,21,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
100,"Bungalow lãng mạn cho cặp đôi với vườn riêng, 3 phút ra biển An Bàng",Studio Apartment,None,3,1,1,30,0,Invalid,Hội An,Quảng Nam,Vietnam
101,"Spacious/cozy/comfy room, centre Hoan Kiem- R101",Entire House,None,2,1,1,15,1,20,Hoàn Kiếm,Hà Nội,Vietnam
102,"Pleasant home upto 7 people, Hoi An, Vietnam",Villa,None,7,3,3,83,0,Invalid,Hội An,Quảng Nam,Vietnam
103,LUCKY STUDIO APARTMENT (including Breakfast),Service Apartment,None,3,1,1,28,1,35,Hải Châu,Đà Nẵng,Vietnam
104,Amia Cosiana - Standard ,Entire House,None,3,1,1,13,1,22,Đà Lạt,Lâm Đồng,Vietnam
105,Universe Nguyen Kiem Apartment,Studio Apartment,None,2,1,1,11,0,Invalid,Phú Nhuận,Hồ Chí Minh,Vietnam
106,"VTX - Biệt thự hồ bơi Vũng Tàu view núi, Phòng Karaoke hiện đại",Villa,None,25,5,4,186,1,196,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
107,"Luxury Duplex (2 tầng) 260m2 ** 3 br + extra bed for 10 pax. Free gửi xe ô tô, Lễ tân 24/7",Service Apartment,None,10,3,3,52,1,74,Hoàn Kiếm,Hà Nội,Vietnam
108,Tinghouse studio 5,Studio Apartment,None,4,1,1,22,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
109,Cozrum Homes - Beautifully Designed 1BR @BenThanh,Service Apartment,None,2,1,1,19,1,26,Quận 1,Hồ Chí Minh,Vietnam
110,Minh Hưng Apartment - Premier,Service Apartment,Halla Jade Residences,2,1,1,20,1,37,Hải Châu,Đà Nẵng,Vietnam
111,AN BANG SEA ADVENTURE HOMESTAY,Other,None,2,1,1,39,0,Invalid,Hội An,Quảng Nam,Vietnam
112,Litus - Villa Sân Vườn Nghỉ Dưỡng,Other,None,10,2,2,65,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
113,Studio - Vinhomes green Bay in Ha Noi,Condominium,None,3,1,1,30,0,Invalid,Nam Từ Liêm,Hà Nội,Vietnam
114,House No.54 - 54 Tô Hiến Thành - Ward 3,Service Apartment,None,4,1,1,22,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
115,The Bloom Serviced Apartment ❀ Deluxe Studio ❀ サービスアパート,Service Apartment,None,2,1,1,48,0,Invalid,Bình Thạnh,Hồ Chí Minh,Vietnam
116,SIT.homestay - No 01,Entire House,None,3,1,1,20,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
117,WINDBELL VILLA / Garden view room 1 - Cho Thuê 14 Ngày,Villa,None,3,1,1,23,1,52,Hội An,Quảng Nam,Vietnam
118,LUXURY ROOM  - Couple Only,None,None,2,1,1,39,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
119,"BlaBla Orange 04 - Phòng giường đôi, sàn gỗ, bếp chung, 1km tới biển",Other,None,4,1,2,10,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
120,San's Home [Sharing home],Condominium,Nam Trung Yên,2,1,1,13,0,Invalid,Cầu Giấy,Hà Nội,Vietnam
121,Chillin House,Service Apartment,Vũng Tàu Melody,12,3,2,47,1,58,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
122,MLibrary Pentstudio Apartment West Lake with Panorama View,None,None,6,1,1,74,0,Invalid,Tây Hồ,Hà Nội,Vietnam
123,Win Aparment Studio Tiêu chuẩn (Min 2 night) #1,Studio Apartment,None,3,1,1,11,0,Invalid,Sơn Trà,Đà Nẵng,Vietnam
124,✦Luxury Villa 6BR✦Thao Dien Dist 2✦Bathtub✦Big yard✦Sai Gon River View [Sweethost],Villa,None,16,6,8,275,1,305,Quận 2,Hồ Chí Minh,Vietnam
125,1 Bedroom with 15-minute walk to Xuan Huong Lake,Entire House,None,4,1,1,10,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
126,Ann Retreat Resort Hội An- Phòng Grand Deluxe Cổ Điển View Sông Thu Bồn,None,None,3,1,1,49,1,61,Hội An,Quảng Nam,Vietnam
127,[BrotherhooD] Luxury Apartment 2BR / Big Balcony / 15 minutes to Hoan Kiem Lake,Other,None,6,2,1,39,0,Invalid,Thanh Xuân,Hà Nội,Vietnam
128,LINH HOMIE - Room with Window View,Other,None,2,1,1,12,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
129,"Fika No.1 ♥️ Free Breakfast, Netflix ♡  District 1",Studio Apartment,None,4,1,1,26,1,30,Quận 1,Hồ Chí Minh,Vietnam
130,An Bang Memory 4 bedroom-Cottage at An Bang Beach,Villa,None,12,4,4,96,1,113,Hội An,Quảng Nam,Vietnam
131,Thị Trấn Nhỏ Homestay - Phòng nhà xây trắng,Entire House,None,2,1,1,12,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
132,Palm Luxury BeachSide Saltwater Pool Villa,Villa,None,20,5,5,217,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
133,A5 Melody Vung Tau Homestay (Smarthome),Condominium,Vũng Tàu Melody,4,2,1,17,1,22,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
